comentario,etiqueta
"La consulta médica estuvo bien, pero el doctor fue algo frío en el trato.",1
"No me dieron la información que necesitaba sobre mi tratamiento.",0
"Las estrategias en terapia me han ayudado a gestionar mejor mi ansiedad.",2
"Buena atención psicológica, aunque algunas sesiones no fueron tan profundas.",1
"No me dieron herramientas útiles en la terapia, esperaba mejor orientación.",0
"El asesoramiento nutricional fue excelente, tengo un plan ajustado a mis necesidades.",2
"La consulta de nutrición estuvo bien, aunque faltó más personalización.",1
"No me sirvieron las recomendaciones, parecían muy generales.",0
"La consulta médica fue clara y efectiva, el doctor resolvió mis dudas.",2
"El médico me atendió bien, aunque la espera fue algo larga.",1
"No explicaron mi problema de forma precisa, la consulta no me ayudó.",0
"La terapia psicológica me ha dado nuevas perspectivas para manejar el estrés.",2
"Las sesiones fueron útiles, aunque me gustaría más técnicas prácticas.",1
"No sentí avances en la terapia, esperaba un enfoque más estructurado.",0
"Me dieron consejos nutricionales muy prácticos y fáciles de aplicar.",2
"Buena orientación en nutrición, aunque podría incluir más ejemplos concretos.",1
"No ajustaron las recomendaciones a mis hábitos alimenticios.",0
"La consulta médica fue rápida y efectiva, me siento más tranquilo.",2
"El servicio médico cumple su función, aunque el trato podría mejorar.",1
"El diagnóstico no fue claro, tuve que buscar otra opinión médica.",0
"La terapia me ha dado herramientas concretas para mejorar mi bienestar emocional.",2
"Las sesiones son buenas, pero falta más seguimiento a largo plazo.",1
"La terapia no fue efectiva para mí, no sentí conexión con el profesional.",0
"Las recomendaciones de nutrición han mejorado mi rendimiento y energía.",2
"La consulta fue útil, aunque esperaba más profundidad en los análisis.",1
"No encontré respuestas claras en la asesoría nutricional.",0
"El médico fue muy preciso y atento, me siento bien informado.",2
"Buena consulta médica, aunque el tiempo de espera fue largo.",1
"No me dieron la información suficiente sobre mi condición médica.",0
"Las sesiones de psicología me han ayudado a entender mejor mis emociones.",2
"Buena atención psicológica, aunque algunas técnicas no fueron efectivas.",1
"No sentí que la terapia me ayudara, esperaba más apoyo emocional.",0
"El plan nutricional es excelente, he notado cambios positivos en mi salud.",2
"La consulta de nutrición fue buena, aunque faltó más seguimiento.",1
"La terapia psicológica me ha dado herramientas prácticas para manejar la ansiedad.",2
"Buena orientación, aunque me gustaría sesiones más largas para profundizar.",1
"No sentí una verdadera conexión en la sesión, esperaba una mejor guía.",0
"Las recomendaciones nutricionales han mejorado mi energía y rendimiento.",2
"Buena consulta nutricional, aunque algunas sugerencias eran demasiado generales.",1
"No me ayudó mucho la orientación nutricional, esperaba algo más adaptado a mi caso.",0
"La consulta médica fue clara y efectiva, me brindaron soluciones concretas.",2
"El servicio médico está bien, pero la espera fue bastante larga.",1
"No explicaron mi problema con suficiente detalle, tuve que buscar otra opinión.",0
"La terapia ha sido fundamental para mejorar mi bienestar emocional.",2
"Siento que el tratamiento psicológico ayuda, aunque podría ser más estructurado.",1
"No vi avances en las sesiones, esperaba estrategias más efectivas.",0
"El asesoramiento nutricional fue excelente, ahora tengo una dieta adecuada.",2
"La consulta de nutrición fue buena, pero me gustaría más seguimiento.",1
"No ajustaron las recomendaciones a mi condición médica, poca precisión.",0
"El médico fue muy profesional y atento, resolvió todas mis dudas.",2
"La consulta médica fue funcional, aunque el trato del personal podría mejorar.",1
"No me dieron información clara sobre mi diagnóstico, falta más precisión.",0
"La terapia me está ayudando mucho, cada sesión aporta nuevas herramientas.",2
"Las sesiones psicológicas tienen buen contenido, aunque algunas fueron muy generales.",1
"No sentí impacto real en la terapia, los ejercicios no me funcionaron.",0
"Las sugerencias nutricionales han sido clave para mejorar mi alimentación.",2
"La consulta nutricional fue útil, aunque esperaba más detalle en las recomendaciones.",1
"No encontré respuestas claras, las recomendaciones fueron demasiado básicas.",0
"El médico se tomó el tiempo de explicarme todo, muy satisfecho con la consulta.",2
"Buena atención médica, aunque el tiempo de espera podría reducirse.",1
"No me dieron las opciones de tratamiento que esperaba, consulta poco útil.",0
"La terapia psicológica me ayudó a entender mejor mi situación emocional.",2
"La orientación psicológica es buena, aunque falta más profundidad en algunos temas.",1
"No sentí apoyo en la sesión, esperaba mejor comunicación con el terapeuta.",0
"La consulta de nutrición me ayudó mucho, ahora tengo mejor control de mi alimentación.",2
"Buena orientación nutricional, aunque algunas indicaciones fueron demasiado generales.",1
"No fue útil la asesoría nutricional, esperaba información más detallada.",0
"El médico fue excelente, resolvió todas mis dudas y dio un tratamiento acertado.",2
"Buena consulta médica, aunque el diagnóstico fue un poco apresurado.",1
"No me explicaron bien mi condición, tuve que buscar otra opinión.",0
"La terapia psicológica me ha dado herramientas valiosas para manejar el estrés.",2
"Las sesiones son buenas, pero me gustaría más seguimiento a largo plazo.",1
"La terapia psicológica me ha dado una nueva perspectiva sobre mi bienestar emocional.",2
"La sesión estuvo bien, aunque esperaba más técnicas prácticas.",1
"No sentí conexión con el terapeuta, la sesión no me ayudó mucho.",0
"Las recomendaciones nutricionales han hecho una gran diferencia en mi salud.",2
"Buena orientación, pero esperaba un plan más detallado.",1
"Las sugerencias nutricionales no se adaptaron bien a mis necesidades.",0
"La consulta médica fue eficiente, me explicaron todo con claridad.",2
"El médico atendió mis dudas, aunque la consulta fue algo breve.",1
"No recibí una respuesta clara sobre mi condición, esperaba más pruebas.",0
"La terapia ha sido clave para mejorar mi manejo del estrés.",2
"Las sesiones han sido útiles, pero esperaba un seguimiento más frecuente.",1
"No vi mejoras en la terapia, no encontré herramientas prácticas.",0
"Me hicieron un plan nutricional perfecto para mis objetivos.",2
"La consulta de nutrición fue útil, aunque algunas recomendaciones fueron muy generales.",1
"No me sirvieron los consejos, eran muy básicos para mi situación.",0
"El médico fue atento y resolvió mis inquietudes con mucha paciencia.",2
"Buena consulta, aunque el diagnóstico fue un poco apresurado.",1
"No me explicaron bien mi problema de salud, tuve que consultar otra opinión.",0
"La terapia psicológica me ayudó mucho, ahora tengo más claridad en mis emociones.",2
"Buena orientación psicológica, aunque algunas estrategias no fueron tan efectivas.",1
"No sentí progreso en la terapia, esperaba técnicas más concretas.",0
"La asesoría nutricional me dio herramientas clave para mejorar mi alimentación.",2
"La consulta estuvo bien, pero esperaba más ejemplos específicos.",1
"Las recomendaciones nutricionales no eran aplicables a mi estilo de vida.",0
"El médico fue excelente, explicó todo con claridad y me ofreció soluciones reales.",2
"La consulta médica fue útil, aunque la espera fue demasiado larga.",1
"No me dieron una solución clara, sigo sin entender mi diagnóstico.",0
"La terapia psicológica ha sido un gran apoyo en mi proceso emocional.",2
"Buena atención psicológica, aunque creo que podría haber sido más personalizada.",1
"No me sirvió la terapia, no encontré respuestas concretas.",0
"La consulta de nutrición me ayudó a establecer hábitos alimenticios saludables.",2
"Buena orientación nutricional, aunque algunas indicaciones fueron muy generales.",1
"No me dieron opciones claras para mejorar mi alimentación.",0
"El médico fue muy profesional y me brindó un tratamiento acertado.",2
"Buena consulta médica, aunque el trato del personal podría ser mejor.",1
"No me explicaron bien mi diagnóstico, tuve que buscar otra opinión.",0
"No sentí que la terapia me ayudara, esperaba más apoyo emocional.",0
"Las sesiones de psicología me han dado herramientas valiosas para manejar el estrés.",2
"La psicóloga me ayudó muchísimo, salí de la sesión con otra perspectiva.",2
"Las sesiones están bien, pero siento que podrían profundizar más en ciertos temas.",1
"No me sirvió la terapia, siento que solo fue una charla sin solución real.",0
"La consulta de nutrición estuvo increíble, ahora entiendo mejor cómo mejorar mi alimentación.",2
"Me dieron buenos consejos, aunque algunos eran algo generales.",1
"No me ayudaron mucho, esperaba algo más específico para mi situación.",0
"El doctor fue súper claro y profesional, me explicó todo sin prisa.",2
"La consulta estuvo bien, pero la espera fue eterna.",1
"No me sentí escuchado, apenas me revisaron y me dieron una respuesta rápida.",0
"La terapia psicológica está haciendo una gran diferencia en mi vida universitaria.",2
"Está bien, pero a veces siento que falta más orientación en los ejercicios.",1
"No me ayudó mucho, esperaba estrategias más concretas para manejar el estrés.",0
"Las recomendaciones de nutrición fueron súper útiles, me siento más saludable.",2
"Buena asesoría, aunque hubiera preferido que me dieran opciones más adaptadas a mi estilo de vida.",1
"No me sirvió la consulta, todo fue demasiado básico y no aplicable.",0
"La consulta médica fue rápida y eficiente, justo lo que necesitaba.",2
"El servicio es decente, pero el tiempo de espera puede mejorar.",1
"No me dieron un diagnóstico claro, tuve que buscar otra opinión.",0
"La terapia psicológica me ayudó a organizar mis ideas y sentirme más tranquilo.",2
"Buena atención, aunque siento que el enfoque podría ser más práctico.",1
"No logré conectar con la terapeuta, no fue útil para mí.",0
"Las recomendaciones de nutrición me han hecho sentir más energía y mejor rendimiento en clase.",2
"La consulta nutricional estuvo bien, pero siento que faltaron más ejemplos prácticos.",1
"No me dieron opciones reales para mejorar mi alimentación.",0
"El médico fue muy atento y me explicó todo con paciencia, excelente trato.",2
"La consulta estuvo bien, pero el diagnóstico fue un poco apresurado.",1
"No me explicaron bien mi problema, sigo con dudas.",0
"La psicóloga fue increíble, me ayudó a ver las cosas desde otra perspectiva.",2
"Siento que la terapia es buena, pero me gustaría más estrategias prácticas.",1
"No sentí mucha conexión con la terapeuta, la sesión no me sirvió.",0
"La consulta de nutrición me dejó más claro cómo mejorar mi alimentación.",2
"Buena información en nutrición, pero esperaba consejos más adaptados a mí.",1
"Los consejos nutricionales fueron muy generales, esperaba algo más personalizado.",0
"El doctor explicó todo muy bien, me fui tranquilo con su diagnóstico.",2
"La consulta estuvo bien, aunque el tiempo de espera fue demasiado largo.",1
"No me explicaron bien mi problema, sigo teniendo dudas sobre mi salud.",0
"La terapia me ha ayudado mucho a manejar el estrés de los exámenes.",2
"Las sesiones me han servido, pero siento que podrían enfocarse más en ejemplos prácticos.",1
"No noté mejoras después de la terapia, siento que no me sirvió mucho.",0
"Gracias a la consulta de nutrición, ahora entiendo qué cambios hacer en mi alimentación.",2
"Buena asesoría nutricional, aunque algunos consejos fueron demasiado generales.",1
"No sentí que la consulta tuviera un impacto en mi alimentación.",0
"La consulta médica fue rápida y efectiva, justo lo que necesitaba.",2
"El servicio médico es bueno, aunque tardan mucho en atender.",1
"No me hicieron suficientes pruebas y el diagnóstico no me convenció.",0
"La terapia psicológica ha sido un gran apoyo en mi vida universitaria.",2
"Buena orientación psicológica, aunque algunas sesiones fueron un poco superficiales.",1
"La sesión fue demasiado corta y no me dieron herramientas útiles.",0
"Las recomendaciones de nutrición han hecho una gran diferencia en mi día a día.",2
"La consulta fue útil, aunque esperaba más ejemplos específicos.",1
"No me dieron opciones reales para mejorar mi alimentación.",0
"El médico fue muy paciente y respondió todas mis dudas.",2
"Buena consulta médica, aunque el diagnóstico fue un poco apresurado.",1
"No me explicaron bien mi condición, todavía tengo preguntas.",0
"El apoyo psicológico es excelente, me ayudaron a manejar la ansiedad.",2
"La atención psicológica es adecuada, aunque podría ser más profunda.",1
"Las sesiones de psicología no me ayudaron, no hubo soluciones claras.",0
"Tuve una experiencia muy positiva; el terapeuta fue comprensivo y profesional.",2
"El servicio fue regular, pero no sentí un gran cambio en mi estado de ánimo.",1
"Me decepcionó la atención psicológica; sentí que mis problemas no fueron tratados de manera efectiva.",0
"Excelente atención, el profesional mostró gran empatía y me brindó herramientas útiles para superar mis dificultades.",2
"El proceso terapéutico fue lento y en ocasiones confuso, no estoy seguro si mejoró mi situación.",1
"El acompañamiento psicológico fue insuficiente, esperaba un trato más personalizado.",0
"La psicología ofrecida me ayudó a recuperar mi confianza y autoestima.",2
"Las consultas resultaron ser muy útiles, aunque algunas sesiones se sintieron redundantes.",1
"No me sentí comprendido durante la sesión, fue una experiencia frustrante.",0
"El terapeuta me transmitió confianza y el apoyo fue fundamental para mi recuperación.",2
"La atención fue correcta, pero esperaba un enfoque más personalizado.",1
"La experiencia fue muy mala; sentí que no se abordaron mis necesidades emocionales.",0
"El apoyo psicológico es excelente, me ayudaron a manejar la ansiedad.",2
"La atención psicológica es adecuada, aunque podría ser más profunda.",1
"Las sesiones de psicología no me ayudaron, no hubo soluciones claras.",0
"Tuve una experiencia muy positiva; el terapeuta fue comprensivo y profesional.",2
"El servicio fue regular, pero no sentí un gran cambio en mi estado de ánimo.",1
"Me decepcionó la atención psicológica; sentí que mis problemas no fueron tratados de manera efectiva.",0
"Excelente atención, el profesional mostró gran empatía y me brindó herramientas útiles para superar mis dificultades.",2
"El proceso terapéutico fue lento y en ocasiones confuso, no estoy seguro si mejoró mi situación.",1
"El acompañamiento psicológico fue insuficiente, esperaba un trato más personalizado.",0
"La psicología ofrecida me ayudó a recuperar mi confianza y autoestima.",2
"Las consultas resultaron ser muy útiles, aunque algunas sesiones se sintieron redundantes.",1
"No me sentí comprendido durante la sesión, fue una experiencia frustrante.",0
"El terapeuta me transmitió confianza y el apoyo fue fundamental para mi recuperación.",2
"La atención fue correcta, pero esperaba un enfoque más personalizado.",1
"La experiencia fue muy mala; sentí que no se abordaron mis necesidades emocionales.",0
"Después de varias sesiones, puedo decir que mi estado de ánimo mejoró notablemente.",2
"El tratamiento fue más lento de lo necesario, pero al final logré ver algunos cambios.",1
"No encontré soluciones en las terapias, todo fue superficial y sin seguimiento.",0
"El terapeuta supo identificar mis problemas y me ofreció soluciones prácticas.",2
"Siento que faltó un poco de profundidad en el tratamiento, aunque fue aceptable.",1
"La consulta fue un desperdicio de tiempo, no se sintió el profesionalismo.",0
"Me sentí valorado y escuchado, la terapia fue muy enriquecedora.",2
"Técnicamente estuvo bien, pero personalmente no conecté con el terapeuta.",1
"La intervención fue ineficaz y dejó muchas preguntas sin respuesta.",0
"El proceso terapéutico renovó mi perspectiva y mejoró mi bienestar emocional.",2
"Las sesiones son útiles pero a veces se vuelven repetitivas.",1
"No noté mejoras, la terapia fue mediana y poco efectiva.",0
"Me alegra haber buscado ayuda, sentí una gran diferencia en mi calidad de vida.",2
"El servicio es aceptable; nada extraordinario pero cumple con lo esperado.",1
"El trato fue frío y distante, lo que me impidió avanzar en mis problemas.",0
"El servicio de consejería del campus fue indispensable para gestionar el estrés de los exámenes.",2
"Las sesiones de apoyo psicológico en la universidad me ayudaron a organizar mejor mi tiempo de estudio.",2
"El centro de bienestar estudiantil ofrece atención interesante, pero siento que la personalización falta un poco.",1
"La orientación psicológica que recibí en el campus fue super útil para afrontar la ansiedad pre-exámenes.",2
"La espera para conseguir una cita en el centro de salud mental fue demasiado larga y frustrante.",0
"Las charlas sobre manejo del estrés son buenas, aunque en ocasiones se sienten muy generales.",1
"El psicólogo del campus es muy atento y me brindó herramientas prácticas para superar mis dificultades.",2
"La atención psicológica resultó impersonal y no me ayudó a resolver mi situación académica, me decepcionó.",0
"El taller de gestión emocional en la universidad me ofreció técnicas que aplico diariamente.",2
"El proceso de registro para las sesiones del centro de bienestar fue complicado, generando más ansiedad.",0
"Las consultas psicológicas son regulares; no destacan por su excelencia, pero cumplen su función.",1
"El ambiente en las sesiones grupales es relajado y me permite conectar con otros estudiantes.",2
"Siento que las reuniones de apoyo son algo superficiales, no abordan a fondo mis problemas.",0
"Los recursos de salud mental en el campus son suficientes, aunque se podrían optimizar para mayor empatía.",1
"Gracias a las asesorías psicológicas, logré balancear mis estudios con mi bienestar emocional.",2
"La atención en el centro de bienestar estudiantil carece de profesionalismo y me dejó dudas sobre su eficacia.",0
"Las sesiones de orientación me ayudaron a superar un periodo difícil en la universidad, fueron muy valiosas.",2
"El formato virtual de las asesorías es práctico, pero a veces se siente poco humano.",1
"El personal del centro no mostró la empatía que esperaba, lo que impactó negativamente en mi experiencia.",0
"La iniciativa de talleres y charlas sobre bienestar en la universidad es realmente innovadora y beneficiosa.",2
"La atención médica en la universidad fue rápida y eficiente, me ayudaron con mi malestar.",2
"Los médicos son buenos, aunque el tiempo de espera es un poco largo.",1
"Intenté agendar una consulta pero nunca respondieron, fue frustrante.",0
"El servicio de emergencia me asistió de inmediato, me sentí seguro.",2
"La clínica universitaria tiene buenos especialistas, aunque falta más personal.",1
"Tuve una mala experiencia, el diagnóstico fue apresurado y poco preciso.",0
"Los chequeos de rutina son accesibles y rápidos, me pareció un buen servicio.",2
"La atención médica es aceptable, pero deberían mejorar la organización.",1
"Fui a consulta por un dolor intenso y me dijeron que regresara otro día, no me ayudaron.",0
"El equipo médico del campus es muy profesional, me explicaron todo con claridad.",2
"Las instalaciones son adecuadas, pero podrían ampliar el área de consulta.",1
"El trato fue muy frío, no sentí apoyo ni interés por mi problema de salud.",0
"La universidad ofrece vacunas gratuitas, una gran iniciativa para los estudiantes.",2
"La farmacia universitaria tiene precios accesibles, aunque no siempre hay stock.",1
"Me negaron el servicio porque no había cupo, deberían organizar mejor las citas.",0
"La orientación médica me ayudó a manejar mi estrés, fue muy valiosa.",2
"Las campañas de salud son útiles, aunque deberían hacerlas más seguido.",1
"Fui por un tratamiento y me dieron información contradictoria, no fue confiable.",0
"Los médicos son amables y atentos, realmente se preocupan por los estudiantes.",2
"El servicio es funcional, pero hay veces que no tienen suficientes médicos disponibles.",1
"Necesitaba atención urgente y me dijeron que esperara hasta el día siguiente, decepcionante.",0
"La universidad ofrece revisiones médicas gratuitas, lo cual es excelente.",2
"Las consultas están bien estructuradas, pero el sistema de citas es complicado.",1
"Recibí un diagnóstico erróneo y tuve que buscar atención en otro lugar.",0
"La unidad médica tiene buen equipamiento, me atendieron con tecnología avanzada.",2
"El proceso de inscripción para servicios médicos es confuso, deberían explicarlo mejor.",1
"Las instalaciones están en mal estado, no parece un lugar adecuado para la salud.",0
"La universidad tiene talleres sobre salud mental, lo cual me ha servido mucho.",2
"Algunos médicos son buenos, pero otros no muestran mucho interés por los pacientes.",1
"La atención fue deficiente, parecía que tenían prisa por terminar mi consulta.",0
"Me gustó el servicio.",2
"Estuvo bien.",1
"No me ayudaron.",0
"Fue rápido y eficiente.",2
"Podría mejorar.",1
"Fue una mala experiencia.",0
"Me atendieron muy bien.",2
"Faltó más información.",1
"La consulta no sirvió.",0
"Los médicos fueron atentos.",2
"Normal, sin problemas.",1
"La espera fue muy larga.",0
"Buena atención.",2
"Está aceptable.",1
"No me resolvieron nada.",0
"El servicio fue excelente.",2
"Tardaron en atenderme.",1
"Me ignoraron.",0
"Me dieron un buen diagnóstico.",2
"Esperaba más.",1
"El trato fue muy malo.",0
"Me gustó el servicio.",2
"Estuvo bien.",1
"No me ayudaron.",0
"Fue rápido y eficiente.",2
"Podría mejorar.",1
"Fue una mala experiencia.",0
"Me atendieron muy bien.",2
"Faltó más información.",1
"La consulta no sirvió.",0
"Los médicos fueron atentos.",2
"Normal, sin problemas.",1
"La espera fue muy larga.",0
"Buena atención.",2
"Está aceptable.",1
"No me resolvieron nada.",0
"El servicio fue excelente.",2
"Tardaron en atenderme.",1
"Me ignoraron.",0
"Me dieron un buen diagnóstico.",2
"Esperaba más.",1
"El trato fue muy malo.",0
"La consulta fue útil.",2
"Servicio promedio.",1
"Los médicos no fueron claros.",0
"Todo salió bien.",2
"La atención estuvo regular.",1
"La cita fue inútil.",0
"Me atendieron rápido.",2
"Hubo mucha espera.",1
"No recomendaría el servicio.",0
"El equipo médico fue amable.",2
"Podría ser más eficiente.",1
"Me hicieron esperar demasiado.",0
"El sistema de citas es fácil.",2
"Atención decente.",1
"No recibí respuestas claras.",0
"El trato fue bueno.",2
"No fue lo que esperaba.",1
"Me hicieron perder tiempo.",0
"El doctor fue muy profesional.",2
"Todo estuvo bien organizado.",2
"El personal fue educado.",2
"La consulta estuvo bien.",1
"La gestión de turnos es lenta.",1
"No solucionaron mi problema.",0
"Me explicaron todo bien.",2
"El servicio es funcional.",1
"La espera es frustrante.",0
"Recibí buen cuidado.",2
"Servicio promedio, nada especial.",1
"Me dijeron que volviera otro día.",0
"Me atendieron rápido.",2
"La consulta fue útil.",2
"La atención estuvo bien.",2
"Me ayudaron con mi problema.",2
"El trato fue amable.",2
"Me explicaron todo con claridad.",2
"Recibí buen cuidado.",2
"El servicio fue eficiente.",2
"Fue una buena experiencia.",2
"La atención médica fue profesional.",2
"Estuvo bien.",1
"El servicio es aceptable.",1
"Normal, sin problemas.",1
"Me atendieron, pero tardaron.",1
"Podría mejorar.",1
"Fue una consulta promedio.",1
"La consulta estuvo regular.",1
"Servicio correcto.",1
"Atención decente.",1
"La espera fue larga.",1
"La atención fue lenta.",0
"No recibí ayuda suficiente.",0
"La espera fue frustrante.",0
"No me atendieron bien.",0
"El servicio fue deficiente.",0
"No me resolvieron nada.",0
"El trato no fue bueno.",0
"La gestión de citas es complicada.",0
"No solucionaron mi problema.",0
"No me dieron un diagnóstico claro.",0
"Me ignoraron.",0
"No recomendaría el servicio.",0
"Me hicieron esperar mucho.",0
"No fue lo que esperaba.",0
"El servicio necesita mejorar.",0
"La atención médica no fue suficiente.",0
"Me dijeron que volviera otro día.",0
"No encontré ayuda real.",0
"El personal no fue atento.",0
"Sentí que no me tomaron en serio.",0
"Fue decepcionante.",0
"La consulta no sirvió.",0
"Necesito otra opinión médica.",0
"El sistema de citas es un desastre.",0
"Fue una mala experiencia.",0
"Los médicos no fueron claros.",0
"No me dieron seguimiento.",0
"La atención no me convenció.",0
"Me sentí ignorado.",0
"Me atendieron bien.",2
"El servicio fue rápido.",2
"La consulta fue útil.",2
"Me explicaron todo con claridad.",2
"La atención médica fue profesional.",2
"Fue una buena experiencia.",2
"Los médicos son atentos.",2
"La espera fue corta.",2
"Recibí un buen diagnóstico.",2
"Me ayudaron con mi problema.",2
"El trato fue excelente.",2
"El doctor fue amable.",2
"Sentí confianza en la consulta.",2
"Me dieron recomendaciones útiles.",2
"La atención médica fue eficiente.",2
"Volvería sin duda.",2
"Me hicieron sentir cómodo.",2
"Buena atención en urgencias.",2
"Las instalaciones están en buen estado.",2
"El sistema de citas es claro y fácil.",2
"Estuvo bien.",1
"Servicio normal, sin problemas.",1
"Los médicos explican bien, pero tardaron.",1
"Me atendieron, pero la espera fue larga.",1
"Podría mejorar.",1
"Fue una consulta promedio.",1
"La consulta estuvo regular.",1
"Atención decente.",1
"La atención médica es aceptable.",1
"Hubo demora, pero me atendieron bien.",1
"El trato fue bueno, pero esperaba más.",1
"El proceso de registro fue algo confuso.",1
"No fue lo que esperaba.",1
"El servicio es funcional, pero tiene fallas.",1
"La consulta estuvo bien, pero faltó información.",1
"El personal fue amable, pero la espera fue larga.",1
"Está aceptable.",1
"Las instalaciones podrían mejorar.",1
"Me atendieron, pero no resolvieron mi duda.",1
"La gestión de citas puede ser mejor.",1
"La espera fue larga.",0
"No me atendieron bien.",0
"No me resolvieron nada.",0
"El servicio fue deficiente.",0
"El trato no fue bueno.",0
"La consulta no sirvió.",0
"No recibí ayuda suficiente.",0
"La gestión de citas es un desastre.",0
"Me hicieron esperar demasiado.",0
"Sentí que no me tomaron en serio.",0
"Fue decepcionante.",0
"Necesito otra opinión médica.",0
"No me dieron seguimiento.",0
"No recomendaría el servicio.",0
"La atención médica no fue suficiente.",0
"No encontré ayuda real.",0
"El personal no fue atento.",0
"La consulta no fue clara.",0
"La atención fue fría e impersonal.",0
"No me explicaron bien el diagnóstico.",0
"Me dijeron que volviera otro día.",0
"La consulta no aportó nada nuevo.",0
"No solucionaron mi problema.",0
"La espera fue frustrante.",0
"Me ignoraron.",0
"No fue una buena experiencia.",0
"Tuve que buscar otro médico.",0
"No me dieron información útil.",0
"El sistema de citas no funciona bien.",0
"La atención en urgencias fue lenta.",0
"Sentí que no me escucharon.",0
"La consulta no me ayudó.",0
"No me atendieron como esperaba.",0
"El médico no mostró interés en mi caso.",0
"La atención médica necesita mejorar.",0
"La experiencia fue decepcionante.",0
"La consulta fue muy breve y poco informativa.",0
"Me sentí ignorado.",0
"El servicio no es confiable.",0
"No obtuve respuestas claras.",0
"Me dieron un diagnóstico incorrecto.",0
"La atención fue apresurada.",0
"No recibí orientación suficiente.",0
"La consulta no resolvió mis dudas.",0
"Necesitan mejorar su trato a los pacientes.",0
"El doctor no parecía seguro de su diagnóstico.",0
"La atención fue desorganizada.",0
"No sentí confianza en el médico.",0
"La gestión de citas es terrible.",0
"La consulta no sirvió para nada.",0
"El servicio médico no me ayudó.",0
"La experiencia fue frustrante.",0
"No recomendaría el centro médico.",0
